GeoFips,GeoName,2021:Q1,2021:Q2,2021:Q3,2021:Q4
0,United States,19055655,19368310,19478893,19806290
1000,Alabama,202598.8,204135.8,204968.8,207835.2
2000,Alaska,49820.2,50307.6,50352.9,50720.6
4000,Arizona,331004.1,335980.7,338770.5,343943.4
5000,Arkansas,119313.5,120493.3,120760.1,122275.4
6000,California,2799129.2,2860601.9,2879898.7,2946067.2
8000,Colorado,357382.7,365512.2,367681,373097.4
9000,Connecticut,240712.2,244913.3,246434.3,251070.5
10000,Delaware,62865.4,63909.2,64704.4,65872.9
11000,District of Columbia,123514.9,125359.9,126603.4,127705.1
12000,Florida,978444.2,1006240,1015729.2,1034362.4
13000,Georgia,554992.1,565877.8,570261.2,580626.8
15000,Hawaii,70653.8,73896.2,74986.5,75981.6
16000,Idaho,77265.9,77765.2,77537.7,79082.9
17000,Illinois,766829,771306,775271.1,784945
18000,Indiana,348472.4,352213.3,352532.6,357278.1
19000,Iowa,178621.7,181305.7,181089,180048
20000,Kansas,162059.7,162965,162655.4,163255.9
21000,Kentucky,192634.7,193651.7,194128.2,196945.7
22000,Louisiana,224325.9,228737.2,227342.7,230532.6
23000,Maine,60933.5,61584,61862.1,62880.9
24000,Maryland,364834,361511.5,363084.5,367539.7
25000,Massachusetts,517170.8,528270.4,533244.6,543334.5
26000,Michigan,461249.3,475273.8,475043.1,481766.1
27000,Minnesota,337184.1,345268.1,346982.7,351253
28000,Mississippi,103180.8,103827.8,103986.6,105043.8
29000,Missouri,292949.7,294799,295983.8,299171.5
30000,Montana,48651.5,49347.8,49288.3,49767.2
31000,Nebraska,124849.5,123662.6,123660.1,123415.7
32000,Nevada,149987,155644.8,156698.6,159708
33000,New Hampshire,78919.7,82931.7,82154,83721.8
34000,New Jersey,554377.6,557419.2,562577.5,572753.5
35000,New Mexico,94088.2,94742.1,94730.1,96488.4
36000,New York,1463162.2,1489937.6,1498318.3,1515818.9
37000,North Carolina,523298.7,530933.7,534103.6,544023.2
38000,North Dakota,55427.5,56179.7,55782.6,55530.3
39000,Ohio,609231.7,613695,615257.8,623479.6
40000,Oklahoma,192114.5,194360.5,194988.9,198827
41000,Oregon,220592.9,222663.8,224577.3,229880.5
42000,Pennsylvania,702716,710846.8,715035.6,726164.6
44000,Rhode Island,52272.8,54438.4,54732.3,55447
45000,South Carolina,217344.4,220004,220865.9,224541.7
46000,South Dakota,48924.2,49069.7,48943.9,48979
47000,Tennessee,337611,340933.2,343539.9,351709.5
48000,Texas,1786515.2,1820328.3,1836855.2,1881751
49000,Utah,180194.6,181965.2,183233.3,186132.1
50000,Vermont,29410.3,29517,29557.9,30130
51000,Virginia,485850,490071.6,493639.8,500941.3
53000,Washington,553143.8,567383.1,570587.1,582097.2
54000,West Virginia,71643.6,72889.2,72539.2,72854.1
55000,Wisconsin,300025.5,302168.8,302198.8,306733
56000,Wyoming,36425.2,36673.6,36565.4,36979.4
91000,New England,979372.7,1001584.4,1007907.9,1026499
92000,Mideast,3272230.3,3310153.8,3331479.2,3376911.6
93000,Great Lakes,2485551.7,2514365.5,2520030.7,2553922.3
94000,Plains,1200359.8,1213538.6,1215400.4,1221923.2
95000,Southeast,4014834.9,4081475,4105790.2,4175766
96000,Southwest,2406164.3,2447774.6,2467709.4,2523122.9
97000,Rocky Mountain,701464.6,712758.4,715791.3,726579.4
98000,Far West,3843729.1,3931109,3957764.1,4045111.2
